event_id,production_order_id,batch_id,product_id,line_id,machine_id,event_started_at,event_ended_at,shift,shift_business_date,quantity_produced,quantity_rejected,status
PEV-2025-01-000001,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T06:00:00-03:00,2025-01-10T06:30:00-03:00,SHIFT-A,2025-01-10,111,1,completed
PEV-2025-01-000002,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T06:30:00-03:00,2025-01-10T07:00:00-03:00,SHIFT-A,2025-01-10,104,2,completed
PEV-2025-01-000003,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T07:00:00-03:00,2025-01-10T07:30:00-03:00,SHIFT-A,2025-01-10,68,3,completed
PEV-2025-01-000004,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T07:30:00-03:00,2025-01-10T08:00:00-03:00,SHIFT-A,2025-01-10,89,1,completed
PEV-2025-01-000005,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T08:00:00-03:00,2025-01-10T08:30:00-03:00,SHIFT-A,2025-01-10,83,3,completed
PEV-2025-01-000006,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-999,2025-01-10T08:30:00-03:00,2025-01-10T09:00:00-03:00,SHIFT-A,2025-01-10,108,3,completed
PEV-2025-01-000007,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T09:00:00-03:00,2025-01-10T09:30:00-03:00,SHIFT-A,2025-01-10,136,2,completed
PEV-2025-01-000008,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T09:30:00-03:00,2025-01-10T10:00:00-03:00,SHIFT-A,2025-01-10,67,3,completed
PEV-2025-01-000009,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T10:00:00-03:00,2025-01-10T10:30:00-03:00,SHIFT-A,2025-01-10,113,3,completed
PEV-2025-01-000010,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T10:30:00-03:00,2025-01-10T11:00:00-03:00,SHIFT-A,2025-01-10,91,1,completed
PEV-2025-01-000011,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T11:00:00-03:00,2025-01-10T11:30:00-03:00,SHIFT-A,2025-01-10,115,3,completed
PEV-2025-01-000012,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T11:30:00-03:00,2025-01-10T12:00:00-03:00,SHIFT-A,2025-01-10,107,1,completed
PEV-2025-01-000013,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T12:00:00-03:00,2025-01-10T12:30:00-03:00,SHIFT-A,2025-01-10,108,1,completed
PEV-2025-01-000014,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T12:30:00-03:00,2025-01-10T13:00:00-03:00,SHIFT-A,2025-01-10,114,2,completed
PEV-2025-01-000015,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T13:00:00-03:00,2025-01-10T13:30:00-03:00,SHIFT-A,2025-01-10,125,2,completed
PEV-2025-01-000016,PO-2025-999999,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T13:30:00-03:00,2025-01-10T14:00:00-03:00,SHIFT-A,2025-01-10,76,1,completed
PEV-2025-01-000017,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T14:00:00-03:00,2025-01-10T14:30:00-03:00,SHIFT-B,2025-01-10,66,2,completed
PEV-2025-01-000018,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T14:30:00-03:00,2025-01-10T15:00:00-03:00,SHIFT-B,2025-01-10,79,1,completed
PEV-2025-01-000019,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T15:00:00-03:00,2025-01-10T15:30:00-03:00,SHIFT-B,2025-01-10,65,1,completed
PEV-2025-01-000020,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T15:30:00-03:00,2025-01-10T16:00:00-03:00,SHIFT-B,2025-01-10,113,3,completed
PEV-2025-01-000021,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T16:00:00-03:00,2025-01-10T16:30:00-03:00,SHIFT-B,2025-01-10,79,2,completed
PEV-2025-01-000022,PO-2025-000001,LOT-2025-000001,PRD-002,LINE-01,MCH-002,2025-01-10T16:30:00-03:00,2025-01-10T17:00:00-03:00,SHIFT-B,2025-01-10,114,1,completed
