event_id,production_order_id,batch_id,product_id,line_id,machine_id,event_started_at,event_ended_at,shift,shift_business_date,quantity_produced,quantity_rejected,status
PEV-2025-09-000401,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T06:00:00-03:00,2025-09-10T06:30:00-03:00,SHIFT-A,2025-09-10,122,1,completed
PEV-2025-09-000402,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T06:30:00-03:00,2025-09-10T07:00:00-03:00,SHIFT-A,2025-09-10,72,1,completed
PEV-2025-09-000403,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T07:00:00-03:00,2025-09-10T07:30:00-03:00,SHIFT-A,2025-09-10,87,3,completed
PEV-2025-09-000404,PO-2025-999999,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T07:30:00-03:00,2025-09-10T08:00:00-03:00,SHIFT-A,2025-09-10,138,1,completed
PEV-2025-09-000405,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T08:00:00-03:00,2025-09-10T08:30:00-03:00,SHIFT-A,2025-09-10,88,3,completed
PEV-2025-09-000406,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T08:30:00-03:00,2025-09-10T09:00:00-03:00,SHIFT-A,2025-09-10,131,2,completed
PEV-2025-09-000407,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T09:00:00-03:00,2025-09-10T09:30:00-03:00,SHIFT-A,2025-09-10,105,2,completed
PEV-2025-09-000408,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T09:30:00-03:00,2025-09-10T10:00:00-03:00,SHIFT-A,2025-09-10,103,2,completed
PEV-2025-09-000409,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T10:00:00-03:00,2025-09-10T10:30:00-03:00,SHIFT-A,2025-09-10,128,3,completed
PEV-2025-09-000410,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T10:30:00-03:00,2025-09-10T11:00:00-03:00,SHIFT-A,2025-09-10,81,1,completed
PEV-2025-09-000411,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T11:00:00-03:00,2025-09-10T11:30:00-03:00,SHIFT-A,2025-09-10,128,3,completed
PEV-2025-09-000412,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T11:30:00-03:00,2025-09-10T12:00:00-03:00,SHIFT-A,2025-09-10,92,2,completed
PEV-2025-09-000413,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T12:00:00-03:00,2025-09-10T12:30:00-03:00,SHIFT-A,2025-09-10,76,2,completed
PEV-2025-09-000414,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T12:30:00-03:00,2025-09-10T13:00:00-03:00,SHIFT-A,2025-09-10,125,1,completed
PEV-2025-09-000415,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T13:00:00-03:00,2025-09-10T13:30:00-03:00,SHIFT-A,2025-09-10,138,3,completed
PEV-2025-09-000416,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-999,2025-09-10T13:30:00-03:00,2025-09-10T14:00:00-03:00,SHIFT-A,2025-09-10,83,1,completed
PEV-2025-09-000417,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T14:00:00-03:00,2025-09-10T14:30:00-03:00,SHIFT-B,2025-09-10,129,1,completed
PEV-2025-09-000418,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T14:30:00-03:00,2025-09-10T15:00:00-03:00,SHIFT-B,2025-09-10,133,1,completed
PEV-2025-09-000419,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T15:00:00-03:00,2025-09-10T15:30:00-03:00,SHIFT-B,2025-09-10,130,3,completed
PEV-2025-09-000420,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T15:30:00-03:00,2025-09-10T16:00:00-03:00,SHIFT-B,2025-09-10,102,1,completed
PEV-2025-09-000421,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T16:00:00-03:00,2025-09-10T16:30:00-03:00,SHIFT-B,2025-09-10,96,1,completed
PEV-2025-09-000422,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T16:30:00-03:00,2025-09-10T17:00:00-03:00,SHIFT-B,2025-09-10,119,2,completed
PEV-2025-09-000423,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T17:00:00-03:00,2025-09-10T17:30:00-03:00,SHIFT-B,2025-09-10,67,3,completed
PEV-2025-09-000424,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T17:30:00-03:00,2025-09-10T18:00:00-03:00,SHIFT-B,2025-09-10,-1,2,completed
PEV-2025-09-000425,PO-2025-000009,LOT-2025-000009,PRD-002,LINE-03,MCH-009,2025-09-10T18:00:00-03:00,2025-09-10T18:30:00-03:00,SHIFT-B,2025-09-10,86,1,completed
