event_id,production_order_id,batch_id,product_id,line_id,machine_id,event_started_at,event_ended_at,shift,shift_business_date,quantity_produced,quantity_rejected,status
PEV-2025-11-000501,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T06:00:00-03:00,2025-11-04T06:30:00-03:00,SHIFT-A,2025-11-04,80,3,completed
PEV-2025-11-000502,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T06:30:00-03:00,2025-11-04T07:00:00-03:00,SHIFT-A,2025-11-04,138,3,completed
PEV-2025-11-000503,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T07:00:00-03:00,2025-11-04T07:30:00-03:00,SHIFT-A,2025-11-04,110,3,completed
PEV-2025-11-000504,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T07:30:00-03:00,2025-11-04T08:00:00-03:00,SHIFT-A,2025-11-04,99,3,completed
PEV-2025-11-000505,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T08:00:00-03:00,2025-11-04T08:30:00-03:00,SHIFT-A,2025-11-04,96,2,completed
PEV-2025-11-000506,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T08:30:00-03:00,2025-11-04T09:00:00-03:00,SHIFT-A,2025-11-04,74,1,completed
PEV-2025-11-000507,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T09:00:00-03:00,2025-11-04T09:30:00-03:00,SHIFT-A,2025-11-04,107,2,completed
PEV-2025-11-000508,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T09:30:00-03:00,2025-11-04T10:00:00-03:00,SHIFT-A,2025-11-04,119,3,completed
PEV-2025-11-000509,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T10:00:00-03:00,2025-11-04T10:30:00-03:00,SHIFT-A,2025-11-04,84,2,unknown
bad-event,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T10:30:00-03:00,2025-11-04T11:00:00-03:00,SHIFT-A,2025-11-04,109,1,completed
PEV-2025-11-000511,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T11:00:00-03:00,2025-11-04T11:30:00-03:00,SHIFT-A,2025-11-04,89,1,completed
PEV-2025-11-000512,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T11:30:00-03:00,2025-11-04T12:00:00-03:00,SHIFT-A,2025-11-04,108,1,completed
PEV-2025-11-000513,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T12:00:00-03:00,2025-11-04T12:30:00-03:00,SHIFT-A,2025-11-04,106,2,completed
PEV-2025-11-000514,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T12:30:00-03:00,2025-11-04T13:00:00-03:00,SHIFT-A,2025-11-04,113,1,completed
PEV-2025-11-000515,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T13:00:00-03:00,2025-11-04T13:30:00-03:00,SHIFT-A,2025-11-04,136,2,completed
PEV-2025-11-000516,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T13:30:00-03:00,2025-11-04T14:00:00-03:00,SHIFT-A,2025-11-04,88,3,completed
PEV-2025-11-000517,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T14:00:00-03:00,2025-11-04T14:30:00-03:00,SHIFT-B,2025-11-04,71,1,completed
PEV-2025-11-000518,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T14:30:00-03:00,2025-11-04T15:00:00-03:00,SHIFT-B,2025-11-04,121,2,completed
PEV-2025-11-000519,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T15:00:00-03:00,2025-11-04T15:30:00-03:00,SHIFT-B,2025-11-04,128,3,completed
PEV-2025-11-000520,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T15:30:00-03:00,2025-11-04T16:00:00-03:00,SHIFT-B,2025-11-04,123,2,completed
PEV-2025-11-000521,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T16:00:00-03:00,2025-11-04T16:30:00-03:00,SHIFT-B,2025-11-04,86,3,completed
PEV-2025-11-000522,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T16:30:00-03:00,2025-11-04T17:00:00-03:00,SHIFT-B,2025-11-04,69,3,completed
PEV-2025-11-000523,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-999,2025-11-04T17:00:00-03:00,2025-11-04T17:30:00-03:00,SHIFT-B,2025-11-04,117,2,completed
PEV-2025-11-000524,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T17:30:00-03:00,2025-11-04T18:00:00-03:00,SHIFT-B,2025-11-04,65,2,completed
PEV-2025-11-000525,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T18:00:00-03:00,2025-11-04T18:30:00-03:00,SHIFT-B,2025-11-04,135,1,completed
PEV-2025-11-000526,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T18:30:00-03:00,2025-11-04T19:00:00-03:00,SHIFT-B,2025-11-04,80,2,completed
PEV-2025-11-000527,PO-2025-000011,LOT-2025-000011,PRD-002,LINE-03,MCH-012,2025-11-04T19:00:00-03:00,2025-11-04T19:30:00-03:00,SHIFT-B,2025-11-04,88,3,completed
